TSK,PSFC,X.U10.,X.V10.,X.Q2.,RAINC,RAINNC,SNOW,TSLB,SMOIS,date_time,Windspeed
272.9,100068,1.8,2.1,0.00395,0,0,0,278.7,0.3051,01.05.2018.00.00,2.77
286,101471,5.8,1.3,0.00574,0,0,0,273.2,1,01.05.2018.00.00,5.94
283.4,101244,6.8,1.5,0.00577,0,0,0,273.2,1,01.05.2018.00.00,6.96
283.7,101323,6.1,2.1,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.45
283.5,100971,7.9,-0.4,0.00544,0,0,0,273.2,1,01.05.2018.00.00,7.91
283.6,101343,6,2.2,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.39
284.4,101282,5.7,2.1,0.00571,0,0,0,273.2,1,01.05.2018.00.00,6.07
280.2,100725,6.1,-0.6,0.00435,0,0.1,0,280.8,0.322,01.05.2018.00.00,6.13
278.8,99672,4.9,2.2,0.00484,0,0.1,0,280.7,0.2999,01.05.2018.00.00,5.37
286.5,99240,6.3,3,0.00562,0,0,0,273.2,1,01.05.2018.00.00,6.98
276.7,98808,3.9,2.6,0.00488,0,0.2,0,279.1,0.3263,01.05.2018.00.00,4.69
284.2,101424,6,1.3,0.00544,0,0,0,273.2,1,01.05.2018.00.00,6.14
284.5,100800,9.1,1.9,0.0057,0,0,0,273.2,1,01.05.2018.00.00,9.3
284.3,101458,6,-0.3,0.00546,0,0,0,273.2,1,01.05.2018.00.00,6.01
284.3,101259,5.7,2.2,0.00568,0,0,0,273.2,1,01.05.2018.00.00,6.11
285.2,101386,6.4,3.7,0.00556,0,0,0,273.2,1,01.05.2018.00.00,7.39
276.7,99169,3.9,2.8,0.00475,0,0.2,0,279.2,0.66225,01.05.2018.00.00,4.8
271.8,99123,3.2,1.6,0.00381,0,0,0,278.9,0.3245,01.05.2018.00.00,3.58
274,99654,2.5,1.6,0.00431,0,0.3,0,279.3,0.3091,01.05.2018.00.00,2.97
284.1,101487,5.4,-1,0.00547,0,0,0,273.2,1,01.05.2018.00.00,5.49
277.3,99575,3.8,3.1,0.00467,0,0,0,279.6,0.3182,01.05.2018.00.00,4.9
283.9,101377,5.449999999999999,1.4,0.0055,0,0,0,273.2,1,01.05.2018.00.00,5.63
283.3,101226,7.1,1.5,0.00563,0,0,0,273.2,1,01.05.2018.00.00,7.26
284.2,100980,8.7,-0.3,0.00575,0,0,0,273.2,1,01.05.2018.00.00,8.71
278.6,99741,4.8,2.3,0.00497,0,0,0,280.5,0.3026,01.05.2018.00.00,5.32
282.3,100876,9.2,2.05,0.00525,0,0,0,273.2,1,01.05.2018.00.00,9.43
283.9,101281,6,1.8,0.00574,0,0,0,273.2,1,01.05.2018.00.00,6.26
287.2,101469,5.8,1.5,0.00575,0,0,0,273.2,1,01.05.2018.00.00,5.99
278.5,99548,4.6,2.3,0.00457,0,0.1,0,280.4,0.3052,01.05.2018.00.00,5.14
278.8,99374,4.9,2.2,0.00439,0,0.2,0,280.4,0.3042,01.05.2018.00.00,5.37
284.3,101241,6.3,4.9,0.00562,0,0,0,273.2,1,01.05.2018.00.00,7.98
283.5,101243,6.6,1.5,0.00578,0,0,0,273.2,1,01.05.2018.00.00,6.77
277.7,99712,3.8,3.4,0.00479,0,0,0,279.8,0.3153,01.05.2018.00.00,5.1
284.3,100958,8.9,-0.3,0.00524,0,0,0,273.2,1,01.05.2018.00.00,8.91
284,101190,6,1.15,0.00557,0,0,0,273.2,1,01.05.2018.00.00,6.11
284.9,101307,5.8,2.6,0.00566,0,0,0,273.2,1,01.05.2018.00.00,6.36
283.9,101095,6.3,6.6,0.0057,0,0,0,273.2,1,01.05.2018.00.00,9.12
274.2,99866,1.9,2,0.00438,0,0,0,278,0.3214,01.05.2018.00.00,2.76
284.7,101314,5.7,2.2,0.0057,0,0,0,273.2,1,01.05.2018.00.00,6.11
284.9,101355,6.3,3.4,0.0056,0,0,0,273.2,1,01.05.2018.00.00,7.16
285.1,101343,5.9,2.4,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.37
284.5,101275,5.7,2.5,0.00563,0,0,0,273.2,1,01.05.2018.00.00,6.22
284.7,101368,5.8,2.3,0.00576,0,0,0,273.2,1,01.05.2018.00.00,6.24
276.7,99038,3.8,2.8,0.00491,0,0.5,0,279.1,0.3284,01.05.2018.00.00,4.72
285.2,101373,6.8,3.9499999999999997,0.00563,0,0,0,273.2,1,01.05.2018.00.00,7.86
285,101301,7.1,5.1,0.00569,0,0,0,273.2,1,01.05.2018.00.00,8.74
272.4,99801,2.1,2.2,0.00393,0,0.2,0,278.5,0.324,01.05.2018.00.00,3.04
285,101380,6,2.5,0.00567,0,0,0,273.2,1,01.05.2018.00.00,6.5
278.8,100454,5.9,1.5,0.00451,0,1.2,0,281,0.2869,01.05.2018.00.00,6.09
275.5,100034,3.4,-0.5,0.00454,0,0,0,278.6,0.3183,01.05.2018.00.00,3.44
284.5,101262,5.9,3.1,0.00553,0,0,0,273.2,1,01.05.2018.00.00,6.66
274.6,99781,2.1,2,0.00441,0,0,0,278.4,0.3207,01.05.2018.00.00,2.9
283.6,101244,6.4,1.6,0.00577,0,0,0,273.2,1,01.05.2018.00.00,6.6
285.3,101375,6.1,2.5,0.0057,0,0,0,273.2,1,01.05.2018.00.00,6.59
278.2,100262,5.6,1.3,0.00466,0,0,0,273.2,0.2918,01.05.2018.00.00,5.75
283.3,100954,7.1,-2,0.0059,0,0,0,273.2,1,01.05.2018.00.00,7.38
278.5,99348,4.5,1.8,0.00442,0,0,0,273.2,0.3051,01.05.2018.00.00,4.85
275.65,101203,6.9,6,0.0057,0,0,0,273.2,1,01.05.2018.00.00,9.14
272.8,99999,1.7,2.1,0.00393,0,0,0,278.6,0.2971,01.05.2018.00.00,2.7
283.6,101029,7.6,-1.5,0.00543,0,0,0,273.2,1,01.05.2018.00.00,7.75
284.5,101481,5.8,1.7,0.00559,0,0,0,273.2,1,01.05.2018.00.00,6.04
272.4,99959,2.1,2,0.00394,0,0,0,278.7,0.3195,01.05.2018.00.00,2.9
